config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,2,4,1,1,133,57.87,62.75,251.0,87.0,0.9257,85,30
N4_M20,4,20,2,4,2,1,101,43.4,51.5,206.0,63.0,0.9699,69,9
N4_M20,4,20,2,4,3,1,204,85.87,101.5,406.0,105.0,0.9981,51,53
N4_M20,4,20,2,4,4,1,64,29.4,35.0,140.0,46.0,0.9074,43,12
N4_M20,4,20,2,5,0,1,54,24.73,33.75,135.0,38.0,0.9942,10,8
N4_M20,4,20,2,5,1,1,117,51.33,62.75,251.0,73.0,0.9753,76,21
N4_M20,4,20,2,5,2,1,43,19.13,25.5,102.0,34.0,0.9012,27,1
N4_M20,4,20,2,5,3,1,130,57.4,68.25,273.0,86.0,0.9549,82,6
N4_M20,4,20,2,5,4,0,300,113.87,116.0,464.0,138.0,0.9698,144,100
N4_M20,4,20,2,6,0,1,45,21.0,30.75,123.0,36.0,0.9868,5,6
N4_M20,4,20,2,6,1,1,55,25.2,34.25,137.0,41.0,0.9713,9,3
N4_M20,4,20,2,6,2,1,260,100.8,108.5,434.0,130.0,0.9685,95,104
N4_M20,4,20,2,6,3,1,38,17.27,23.0,92.0,30.0,0.9618,14,2
N4_M20,4,20,2,6,4,1,82,37.33,49.0,196.0,60.0,0.983,23,10
N4_M20,4,20,2,7,0,1,39,15.87,17.0,68.0,20.0,0.9633,31,5
N4_M20,4,20,2,7,1,1,111,49.47,53.75,215.0,57.0,0.9943,63,12
N4_M20,4,20,2,7,2,1,65,28.47,32.75,131.0,36.0,0.991,37,6
N4_M20,4,20,2,7,3,1,50,20.07,22.25,89.0,33.0,0.9206,38,7
N4_M20,4,20,2,7,4,1,33,14.93,19.0,76.0,25.0,0.964,9,3
N4_M20,4,20,2,8,0,1,84,38.27,48.75,195.0,59.0,0.9507,59,1
N4_M20,4,20,2,8,1,1,47,20.53,23.75,95.0,25.0,0.9979,15,3
N4_M20,4,20,2,8,2,1,38,15.87,18.5,74.0,23.0,0.9627,4,8
N4_M20,4,20,2,8,3,1,124,55.53,74.25,297.0,90.0,0.948,61,17
N4_M20,4,20,2,8,4,1,32,13.53,18.25,73.0,22.0,0.976,5,7
N4_M20,4,20,2,9,0,1,24,11.2,13.25,53.0,18.0,0.9085,3,1
N4_M20,4,20,2,9,1,1,15,7.0,9.75,39.0,12.0,0.9676,0,4
N4_M20,4,20,2,9,2,1,17,7.47,10.75,43.0,12.0,0.9941,0,2
N4_M20,4,20,2,9,3,1,34,14.93,21.0,84.0,22.0,0.9966,0,2
N4_M20,4,20,2,9,4,1,26,11.67,17.25,69.0,21.0,0.9796,0,0
