method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,4,20,2,7,False,300,10,7,0.759992666666669
ppo,,4,20,2,8,False,300,28,9,0.6335219999999945
ppo,,4,20,2,9,False,300,7,5,0.7043266666666644
ppo,,4,20,2,10,False,300,9,4,0.6284696666666653
ppo,,4,20,2,11,False,300,327,299,0.7389843333333346
ppo,,4,20,2,12,False,300,309,300,0.6554246666666685
ppo,,4,20,2,13,False,300,322,300,0.632448666666671
ppo,,4,20,2,14,False,300,607,300,0.7543543333333366
ppo,,4,20,2,15,False,300,0,0,0.6887096666666656
ppo,,4,20,2,16,False,300,32,14,0.6317696666666706
ppo,,4,20,2,17,False,300,302,300,0.6239489999999984
ppo,,4,20,2,18,False,300,319,296,0.6660289999999947
ppo,,4,20,2,19,False,300,26,8,0.6865226666666638
ppo,,5,20,0,0,False,300,10,10,0.7076213333333333
astar,median,5,20,-1,0,True,13,35,12,
astar,component,5,20,-1,0,True,106,82,23,
astar,bbox,5,20,-1,0,False,300,149,39,
ppo,,5,20,0,1,False,300,307,295,0.7707116666666755
astar,median,5,20,-1,1,True,12,38,12,
astar,component,5,20,-1,1,True,80,79,18,
astar,bbox,5,20,-1,1,True,44,52,12,
ppo,,5,20,0,2,False,300,4,2,0.7501640000000028
astar,median,5,20,-1,2,True,87,40,13,
astar,component,5,20,-1,2,True,198,168,36,
astar,bbox,5,20,-1,2,True,77,41,10,
ppo,,5,20,0,3,False,300,24,7,0.7364833333333346
astar,median,5,20,-1,3,True,27,59,17,
astar,component,5,20,-1,3,True,77,95,27,
astar,bbox,5,20,-1,3,True,87,66,17,
ppo,,5,20,0,4,False,300,301,300,0.6514173333333417
astar,median,5,20,-1,4,True,60,52,14,
astar,component,5,20,-1,4,True,16,50,11,
astar,bbox,5,20,-1,4,True,16,54,12,
ppo,,5,20,0,5,False,300,28,10,0.749533333333332
astar,median,5,20,-1,5,True,14,31,11,
astar,component,5,20,-1,5,True,15,37,12,
