method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
ppo,,2,20,2,7,0.0,0.0,300.0,7.0,5.0,0.8448275862068966,1.0,0.0,"[5.0, 2.0]",0.3901523333333312
ppo,,2,20,2,8,0.0,0.0,300.0,6.0,4.0,0.9,594.0,0.0,"[4.0, 2.0]",0.3942956666666664
ppo,,2,20,2,9,0.0,0.0,300.0,1.0,1.0,0.5,599.0,0.0,"[1.0, 0.0]",0.39461433333333257
ppo,,2,20,2,10,0.0,0.0,300.0,5.0,4.0,0.7352941176470589,0.0,0.0,"[4.0, 1.0]",0.3889336666666665
ppo,,2,20,2,11,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,"[2.0, 2.0]",0.6968499999997491
ppo,,2,20,2,12,1.0,0.0,12.0,16.0,12.0,0.8,8.0,0.0,"[12.0, 4.0]",0.4610916666666724
ppo,,2,20,2,13,0.0,0.0,300.0,16.0,13.0,0.7191011235955056,584.0,0.0,"[3.0, 13.0]",0.39541433333333487
ppo,,2,20,2,14,1.0,0.0,9.0,13.0,9.0,0.8711340206185567,5.0,0.0,"[4.0, 9.0]",0.47286666666668253
ppo,,2,20,2,15,0.0,0.0,300.0,1.0,1.0,0.5,599.0,0.0,"[1.0, 0.0]",0.390854333333334
ppo,,2,20,2,16,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,"[3.0, 3.0]",0.5780999999999518
ppo,,2,20,2,17,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.48285000000003464
ppo,,2,20,2,18,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.590949999999868
ppo,,2,20,2,19,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,"[1.0, 1.0]",0.910400000000422
ppo,,3,20,0,0,0.0,0.0,300.0,17.0,9.0,0.8525073746312685,587.0,0.0,"[4.0, 9.0, 4.0]",0.436656666666666
astar,median,3,20,-1,0,True,False,21,20,18,0.4065040650406504,3,0,"[2, 18, 0]",
astar,component,3,20,-1,0,True,False,51,53,25,0.9206817436905933,3,10,"[14, 25, 14]",
astar,bbox,3,20,-1,0,True,False,14,30,10,1.0,4,0,"[10, 10, 10]",
astar,minimax,3,20,-1,0,True,False,12,28,10,0.98989898989899,4,0,"[10, 8, 10]",
ppo,,3,20,0,1,0.0,0.0,300.0,26.0,14.0,0.8164251207729468,17.0,0.0,"[4.0, 8.0, 14.0]",0.43094566666666745
astar,median,3,20,-1,1,True,False,12,29,11,0.9836257309941521,2,0,"[11, 8, 10]",
astar,component,3,20,-1,1,True,False,28,55,23,0.966762543943752,6,0,"[23, 17, 15]",
astar,bbox,3,20,-1,1,True,False,27,31,15,0.9023474178403755,2,42,"[15, 7, 9]",
astar,minimax,3,20,-1,1,True,False,11,30,11,0.9933774834437086,2,0,"[10, 9, 11]",
ppo,,3,20,0,2,0.0,0.0,300.0,305.0,300.0,0.3444872777635823,297.0,0.0,"[300.0, 2.0, 3.0]",0.44046866666666534
astar,median,3,20,-1,2,True,False,37,20,15,0.5602240896358543,2,10,"[2, 3, 15]",
astar,component,3,20,-1,2,True,False,56,32,21,0.6799468791500664,2,100,"[5, 6, 21]",
astar,bbox,3,20,-1,2,True,False,16,18,12,0.6666666666666666,2,26,"[3, 3, 12]",
astar,minimax,3,20,-1,2,True,False,38,40,14,0.9987515605493134,4,23,"[14, 13, 13]",
ppo,,3,20,0,3,0.0,0.0,300.0,9.0,5.0,0.6585365853658537,296.0,0.0,"[5.0, 0.0, 4.0]",0.42145899999999814
astar,median,3,20,-1,3,True,False,11,22,11,0.7831715210355987,1,0,"[11, 2, 9]",
astar,component,3,20,-1,3,True,False,18,32,13,0.9752380952380952,9,0,"[10, 9, 13]",
astar,bbox,3,20,-1,3,True,False,27,38,14,0.9944903581267218,5,0,"[14, 12, 12]",
