map_seed,m,n,method,variant,rollout,success,steps,total_distance,max_distance,jain,obs_collisions,revealed,per_robot_distances
10001,20,4,ppo,seed2,1,True,30,76,22,0.99039780521262,1,0.3475,"[17, 19, 22, 18]"
10001,20,4,ppo,seed2,2,True,31,79,22,0.9843848580441641,5,0.39,"[16, 22, 19, 22]"
10001,20,4,ppo,seed2,3,True,50,122,33,0.9954521134296416,4,0.3825,"[32, 29, 28, 33]"
10001,20,4,ppo,seed2,4,True,32,76,20,0.9972375690607734,2,0.37,"[18, 20, 18, 20]"
10001,20,4,frontier,danger,0,True,20,77,20,0.9994942683749157,0,0.34,"[19, 19, 20, 19]"
10001,20,4,frontier,no_danger,0,False,300,49,13,0.9987520798668885,0,0.2725,"[12, 12, 12, 13]"
10001,20,5,ppo,seed0,0,True,68,188,42,0.9897507700924111,7,0.3975,"[39, 31, 40, 36, 42]"
10001,20,5,ppo,seed0,1,True,57,175,37,0.9960969263294844,5,0.4025,"[35, 37, 35, 37, 31]"
10001,20,5,ppo,seed0,2,True,26,89,19,0.9957259585166562,5,0.39,"[16, 17, 19, 19, 18]"
10001,20,5,ppo,seed0,3,True,32,109,27,0.9631941629509526,2,0.4625,"[22, 27, 17, 26, 17]"
10001,20,5,ppo,seed0,4,True,45,156,37,0.9789219629927595,1,0.37,"[35, 37, 29, 31, 24]"
10001,20,5,ppo,seed1,0,True,244,519,115,0.9941904884935501,89,0.4,"[91, 101, 104, 115, 108]"
10001,20,5,ppo,seed1,1,True,69,191,42,0.9947102931152011,24,0.39,"[42, 35, 39, 40, 35]"
10001,20,5,ppo,seed1,2,False,300,580,121,0.9967407407407407,114,0.4075,"[119, 117, 103, 121, 120]"
10001,20,5,ppo,seed1,3,True,76,212,47,0.9956579530350023,25,0.415,"[43, 47, 40, 43, 39]"
10001,20,5,ppo,seed1,4,True,25,86,19,0.9967654986522911,0,0.34,"[19, 17, 17, 17, 16]"
10001,20,5,ppo,seed2,0,True,97,227,51,0.9958256836409315,5,0.3675,"[43, 43, 51, 45, 45]"
10001,20,5,ppo,seed2,1,True,49,133,32,0.9835418404225744,4,0.3925,"[28, 22, 24, 32, 27]"
10001,20,5,ppo,seed2,2,True,95,278,60,0.9942621896307732,16,0.4,"[56, 59, 48, 60, 55]"
10001,20,5,ppo,seed2,3,True,50,152,35,0.9835674755214985,4,0.4125,"[33, 28, 32, 35, 24]"
10001,20,5,ppo,seed2,4,True,47,161,36,0.9750235094978371,6,0.3875,"[36, 36, 30, 36, 23]"
10001,20,5,frontier,danger,0,False,300,61,13,0.9935914552736983,0,0.3225,"[13, 11, 13, 13, 11]"
10001,20,5,frontier,no_danger,0,False,300,47,13,0.9625272331154684,0,0.275,"[8, 9, 8, 13, 9]"
10002,20,2,ppo,seed0,0,True,41,51,28,0.9904798172124905,16,0.2,"[28, 23]"
10002,20,2,ppo,seed0,1,True,48,41,21,0.9994054696789536,33,0.19,"[21, 20]"
10002,20,2,ppo,seed0,2,True,45,50,31,0.9455370650529501,33,0.195,"[19, 31]"
10002,20,2,ppo,seed0,3,True,32,47,29,0.948068669527897,5,0.1875,"[29, 18]"
10002,20,2,ppo,seed0,4,True,91,52,30,0.976878612716763,56,0.1675,"[22, 30]"
10002,20,2,ppo,seed1,0,True,118,100,52,0.9984025559105432,68,0.195,"[52, 48]"
10002,20,2,ppo,seed1,1,True,46,46,30,0.9152249134948097,31,0.225,"[16, 30]"
10002,20,2,ppo,seed1,2,True,29,28,18,0.9245283018867925,26,0.155,"[18, 10]"
10002,20,2,ppo,seed1,3,True,35,49,29,0.967365028203062,12,0.1775,"[29, 20]"
10002,20,2,ppo,seed1,4,True,61,56,37,0.9063583815028902,45,0.17,"[19, 37]"
10002,20,2,ppo,seed2,0,True,60,73,41,0.9850277264325323,22,0.31,"[32, 41]"
10002,20,2,ppo,seed2,1,True,120,118,68,0.9772599663110612,48,0.2025,"[50, 68]"
10002,20,2,ppo,seed2,2,True,53,57,38,0.9,23,0.2375,"[19, 38]"
10002,20,2,ppo,seed2,3,True,41,53,34,0.9258404746209624,2,0.22,"[34, 19]"
10002,20,2,ppo,seed2,4,True,86,49,40,0.7141582391433671,80,0.1875,"[9, 40]"
10002,20,2,frontier,danger,0,True,32,39,32,0.7087604846225536,0,0.2575,"[7, 32]"
10002,20,2,frontier,no_danger,0,True,8,16,8,1.0,0,0.14,"[8, 8]"
10002,20,3,ppo,seed0,0,True,41,64,24,0.9908079342041606,15,0.22,"[24, 19, 21]"
10002,20,3,ppo,seed0,1,True,62,77,34,0.9388756927949327,17,0.2025,"[34, 25, 18]"
10002,20,3,ppo,seed0,2,True,99,119,54,0.931215887420267,38,0.24,"[54, 37, 28]"
10002,20,3,ppo,seed0,3,True,35,59,24,0.9726180497345627,16,0.2425,"[19, 24, 16]"
