method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
ppo,,2,20,2,3,1.0,0.4,15.4,25.4,13.4,0.9945566302422713,0.6,0.0,0.21241364967344062
ppo,,2,20,2,4,1.0,0.2,16.0,21.6,12.2,0.9581868384721582,3.2,0.0,0.23265320050995797
ppo,,2,20,2,5,1.0,0.2,29.8,43.8,23.0,0.990832340412331,6.6,0.0,0.1954401611981776
ppo,,2,20,2,6,1.0,1.0,5.4,9.4,5.4,0.9740255933825566,0.0,0.0,0.46296288793975554
ppo,,2,20,2,7,1.0,0.2,13.0,18.0,10.2,0.9604405888273202,3.8,1.0,0.24295041534619835
ppo,,2,20,2,8,1.0,0.2,16.2,23.6,12.6,0.9933171451296708,6.0,0.0,0.22678767879964945
ppo,,2,20,2,9,1.0,0.0,17.4,20.0,11.4,0.9536,9.2,0.4,0.22559551771023664
ppo,,2,20,2,10,1.0,1.0,3.8,5.0,3.2,0.9200000000000002,0.0,0.0,0.3651684199116732
ppo,,2,20,2,11,1.0,1.0,5.8,9.4,5.2,0.9664412172268719,0.0,0.0,0.3042697248145424
ppo,,2,20,2,12,1.0,0.0,34.2,41.2,24.8,0.913778755272013,11.8,0.6,0.20388210544972654
ppo,,2,20,2,13,1.0,0.0,41.2,49.6,29.2,0.9674629599220932,17.4,0.4,0.19972451433575558
ppo,,2,20,2,14,1.0,0.2,12.4,17.2,11.2,0.8919922173181888,4.8,0.0,0.2430371776778972
ppo,,2,20,2,15,1.0,0.0,60.0,48.8,28.2,0.9627554278132434,51.0,0.4,0.19342325996452323
ppo,,2,20,2,16,1.0,1.0,6.8,12.2,6.6,0.9847298240947028,0.0,0.0,0.2931643821819521
ppo,,2,20,2,17,1.0,1.0,7.8,13.6,7.2,0.9946598851349622,0.0,0.0,0.27609546071825886
ppo,,2,20,2,18,1.0,1.0,6.2,11.2,6.0,0.9923845050215208,0.0,0.0,0.3025990970913441
ppo,,2,20,2,19,1.0,1.0,3.0,4.6,2.6,0.8951219512195122,0.0,0.0,0.4181443985241155
ppo,,3,20,0,0,1.0,0.0,48.0,89.6,35.4,0.9588149961545025,13.6,7.4,0.23405018752479614
astar,median,3,20,-1,0,True,False,21,20,18,0.4065040650406504,3,0,
astar,component,3,20,-1,0,True,False,51,53,25,0.9206817436905933,3,10,
astar,bbox,3,20,-1,0,True,False,14,30,10,1.0,4,0,
ppo,,3,20,0,1,1.0,0.0,51.2,100.0,38.8,0.9777790770268255,12.0,3.8,0.21403135542641394
astar,median,3,20,-1,1,True,False,12,29,11,0.9836257309941521,2,0,
astar,component,3,20,-1,1,True,False,28,55,23,0.966762543943752,6,0,
astar,bbox,3,20,-1,1,True,False,27,31,15,0.9023474178403755,2,42,
ppo,,3,20,0,2,0.8,0.0,147.2,207.2,76.0,0.9834165038420541,95.8,20.2,0.20614619026436348
astar,median,3,20,-1,2,True,False,37,20,15,0.5602240896358543,2,10,
astar,component,3,20,-1,2,True,False,56,32,21,0.6799468791500664,2,100,
astar,bbox,3,20,-1,2,True,False,16,18,12,0.6666666666666666,2,26,
ppo,,3,20,0,3,1.0,0.2,54.2,110.0,42.6,0.9750463991983092,13.4,2.8,0.21585167881369427
astar,median,3,20,-1,3,True,False,11,22,11,0.7831715210355987,1,0,
astar,component,3,20,-1,3,True,False,18,32,13,0.9752380952380952,9,0,
astar,bbox,3,20,-1,3,True,False,27,38,14,0.9944903581267218,5,0,
ppo,,3,20,0,4,1.0,0.0,38.2,70.6,28.2,0.9586373884715055,16.6,3.0,0.2229637018385397
astar,median,3,20,-1,4,True,True,15,17,15,0.4243759177679883,0,0,
astar,component,3,20,-1,4,True,True,24,45,21,0.9259259259259259,0,0,
astar,bbox,3,20,-1,4,True,True,20,28,10,0.9974554707379135,0,0,
ppo,,3,20,0,5,1.0,0.0,47.6,85.6,31.0,0.9922681909255455,17.8,6.4,0.2175237941399154
astar,median,3,20,-1,5,True,False,13,18,9,0.8852459016393442,4,0,
astar,component,3,20,-1,5,True,False,21,36,14,0.9863013698630136,12,0,
astar,bbox,3,20,-1,5,True,False,11,20,7,0.9950248756218906,4,0,
ppo,,3,20,0,6,1.0,0.0,45.0,90.4,35.6,0.9437690445031368,16.2,0.4,0.2168338709614343
astar,median,3,20,-1,6,True,False,29,28,26,0.3843137254901961,3,0,
astar,component,3,20,-1,6,True,False,43,87,29,1.0,3,0,
astar,bbox,3,20,-1,6,True,False,15,42,15,0.98989898989899,3,0,
ppo,,3,20,0,7,1.0,0.0,154.2,228.6,97.0,0.9256320806292626,120.8,10.6,0.20533763811393277
astar,median,3,20,-1,7,True,False,17,19,11,0.7763440860215054,9,0,
astar,component,3,20,-1,7,True,False,17,27,11,0.9681274900398407,6,0,
astar,bbox,3,20,-1,7,True,False,39,29,13,0.9375696767001115,9,3,
ppo,,3,20,0,8,1.0,0.0,56.0,95.6,38.6,0.9619963147153543,28.8,3.8,0.2097716214068766
astar,median,3,20,-1,8,True,False,12,18,9,0.8852459016393442,6,0,
astar,component,3,20,-1,8,True,False,21,34,15,0.9490968801313628,5,0,
astar,bbox,3,20,-1,8,True,True,7,21,7,1.0,0,0,
ppo,,3,20,0,9,1.0,0.2,18.6,38.2,15.2,0.9684943006754834,4.0,2.8,0.24454495669292506
astar,median,3,20,-1,9,True,True,39,13,8,0.6954732510288066,0,34,
astar,component,3,20,-1,9,True,True,31,25,10,0.9600614439324117,0,20,
astar,bbox,3,20,-1,9,True,False,18,18,8,0.9310344827586207,5,3,
ppo,,3,20,0,10,1.0,0.0,29.8,50.2,20.0,0.9674294137060192,2.2,5.2,0.2281243690983361
astar,median,3,20,-1,10,True,True,8,13,8,0.6329588014981273,0,0,
astar,component,3,20,-1,10,True,True,13,27,12,0.9033457249070632,0,0,
astar,bbox,3,20,-1,10,True,True,7,18,7,0.9473684210526315,0,0,
