method,config,n_robots,map_size,seed,episode,success,steps,total_distance,max_distance,inference_ms_per_step
ppo,N4_M20,4,20,0,16,0,256,11,4,0.48
astar,N4_M20,4,20,0,16,1,16,56,16,
ppo,N4_M20,4,20,0,17,0,256,10,7,0.458
astar,N4_M20,4,20,0,17,1,18,64,18,
ppo,N4_M20,4,20,0,18,0,256,7,4,0.451
astar,N4_M20,4,20,0,18,1,13,40,12,
ppo,N4_M20,4,20,0,19,0,256,2,1,0.467
astar,N4_M20,4,20,0,19,1,16,59,16,
ppo,N4_M20,4,20,1,0,0,256,10,5,0.48
astar,N4_M20,4,20,1,0,1,9,29,9,
ppo,N4_M20,4,20,1,1,0,256,13,7,0.479
astar,N4_M20,4,20,1,1,1,2,8,2,
ppo,N4_M20,4,20,1,2,0,256,4,3,0.474
astar,N4_M20,4,20,1,2,1,14,47,14,
ppo,N4_M20,4,20,1,3,0,256,9,3,0.474
astar,N4_M20,4,20,1,3,1,10,40,10,
ppo,N4_M20,4,20,1,4,0,256,9,6,0.48
astar,N4_M20,4,20,1,4,1,7,24,7,
ppo,N4_M20,4,20,1,5,0,256,2,2,0.464
astar,N4_M20,4,20,1,5,1,12,39,11,
ppo,N4_M20,4,20,1,6,0,256,24,10,0.448
astar,N4_M20,4,20,1,6,1,11,41,11,
ppo,N4_M20,4,20,1,7,0,256,6,4,0.461
astar,N4_M20,4,20,1,7,1,4,16,4,
ppo,N4_M20,4,20,1,8,0,256,15,7,0.472
astar,N4_M20,4,20,1,8,1,16,55,16,
ppo,N4_M20,4,20,1,9,0,256,262,256,0.472
astar,N4_M20,4,20,1,9,1,9,32,9,
ppo,N4_M20,4,20,1,10,0,256,262,256,0.475
astar,N4_M20,4,20,1,10,1,9,32,9,
ppo,N4_M20,4,20,1,11,0,256,9,4,0.469
astar,N4_M20,4,20,1,11,1,10,36,10,
ppo,N4_M20,4,20,1,12,0,256,8,3,0.47
astar,N4_M20,4,20,1,12,1,9,30,9,
ppo,N4_M20,4,20,1,13,0,256,6,3,0.466
astar,N4_M20,4,20,1,13,1,8,27,8,
ppo,N4_M20,4,20,1,14,0,256,25,14,0.452
astar,N4_M20,4,20,1,14,1,9,35,9,
ppo,N4_M20,4,20,1,15,0,256,8,3,0.463
astar,N4_M20,4,20,1,15,1,17,57,17,
ppo,N4_M20,4,20,1,16,0,256,256,256,0.477
astar,N4_M20,4,20,1,16,1,22,61,18,
ppo,N4_M20,4,20,1,17,0,256,9,4,0.481
astar,N4_M20,4,20,1,17,1,15,57,15,
ppo,N4_M20,4,20,1,18,0,256,7,2,0.479
