method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
astar,bbox,2,20,-1,10,True,True,12,4,2,1.0,0,20,
astar,minimax,2,20,-1,10,True,True,12,3,2,0.9,0,20,
ppo,,2,20,0,11,1.0,0.8,5.4,7.8,4.4,0.9609655172413791,0.4,0.0,0.29529185182279133
astar,median,2,20,-1,11,True,True,3,6,3,1.0,0,0,
astar,component,2,20,-1,11,True,True,8,10,7,0.8620689655172413,0,0,
astar,bbox,2,20,-1,11,True,True,3,6,3,1.0,0,0,
astar,minimax,2,20,-1,11,True,True,4,8,4,1.0,0,0,
ppo,,2,20,0,12,1.0,0.0,33.0,33.0,18.6,0.9327688722322325,16.2,0.0,0.18568714546166698
astar,median,2,20,-1,12,True,False,9,14,9,0.9245283018867925,4,0,
astar,component,2,20,-1,12,True,False,21,21,13,0.9463519313304721,4,0,
astar,bbox,2,20,-1,12,True,False,9,14,9,0.9245283018867925,4,0,
astar,minimax,2,20,-1,12,True,False,39,25,16,0.9272997032640949,13,0,
ppo,,2,20,0,13,1.0,0.0,37.4,42.6,23.2,0.9897400660942379,16.6,0.0,0.18161004278654752
astar,median,2,20,-1,13,True,False,13,24,13,0.993103448275862,2,0,
astar,component,2,20,-1,13,True,False,41,54,31,0.978523489932886,7,0,
astar,bbox,2,20,-1,13,True,False,13,24,13,0.993103448275862,2,0,
astar,minimax,2,20,-1,13,True,True,13,26,13,1.0,0,0,
ppo,,2,20,0,14,1.0,0.0,12.2,14.8,11.2,0.7911496158780199,7.0,0.0,0.22537365571150106
astar,median,2,20,-1,14,True,True,7,14,7,1.0,0,0,
astar,component,2,20,-1,14,True,True,22,32,17,0.9961089494163424,0,0,
astar,bbox,2,20,-1,14,True,True,7,14,7,1.0,0,0,
astar,minimax,2,20,-1,14,True,True,8,16,8,1.0,0,0,
