method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,3,20,0,12,0.0,300.0,17.0,11.0,0.41875600000000013
astar,median,3,20,-1,12,True,19,22,13,
astar,component,3,20,-1,12,True,25,32,17,
astar,bbox,3,20,-1,12,True,38,37,14,
ppo,,3,20,0,13,0.0,300.0,8.0,5.0,0.4121263333333343
astar,median,3,20,-1,13,True,22,30,16,
astar,component,3,20,-1,13,True,19,44,18,
astar,bbox,3,20,-1,13,True,18,38,14,
ppo,,3,20,0,14,0.0,300.0,17.0,12.0,0.41181733333333226
astar,median,3,20,-1,14,True,23,22,17,
astar,component,3,20,-1,14,True,22,42,17,
astar,bbox,3,20,-1,14,True,34,36,13,
ppo,,3,20,0,15,0.0,300.0,3.0,3.0,0.41580133333333436
astar,median,3,20,-1,15,True,16,23,14,
astar,component,3,20,-1,15,True,21,42,21,
astar,bbox,3,20,-1,15,True,9,25,9,
ppo,,3,20,0,16,1.0,8.0,10.0,8.0,0.480812499999983
astar,median,3,20,-1,16,True,5,9,5,
astar,component,3,20,-1,16,True,6,10,6,
astar,bbox,3,20,-1,16,True,4,12,4,
ppo,,3,20,0,17,1.0,5.0,12.0,5.0,0.5295000000000272
astar,median,3,20,-1,17,True,5,9,5,
astar,component,3,20,-1,17,True,8,17,7,
astar,bbox,3,20,-1,17,True,5,11,5,
ppo,,3,20,0,18,0.0,300.0,21.0,10.0,0.41274199999999855
astar,median,3,20,-1,18,True,9,18,9,
astar,component,3,20,-1,18,True,21,33,12,
astar,bbox,3,20,-1,18,True,32,36,15,
ppo,,3,20,0,19,0.0,300.0,20.0,9.0,0.4271409999999983
astar,median,3,20,-1,19,True,18,21,18,
astar,component,3,20,-1,19,True,36,66,29,
astar,bbox,3,20,-1,19,True,45,33,13,
ppo,,3,20,1,0,0.0,300.0,17.0,9.0,0.4047859999999985
ppo,,3,20,1,1,0.0,300.0,19.0,9.0,0.41909866666666556
ppo,,3,20,1,2,0.0,300.0,7.0,3.0,0.4040776666666683
ppo,,3,20,1,3,0.0,300.0,27.0,16.0,0.4063149999999993
ppo,,3,20,1,4,0.0,300.0,12.0,6.0,0.4093453333333308
ppo,,3,20,1,5,0.0,300.0,309.0,292.0,0.4235553333333364
ppo,,3,20,1,6,0.0,300.0,24.0,12.0,0.408882333333338
ppo,,3,20,1,7,0.0,300.0,3.0,3.0,0.4123733333333372
ppo,,3,20,1,8,0.0,300.0,19.0,11.0,0.4086253333333308
ppo,,3,20,1,9,0.0,300.0,9.0,5.0,0.4087260000000015
ppo,,3,20,1,10,0.0,300.0,18.0,8.0,0.404544333333335
ppo,,3,20,1,11,1.0,5.0,14.0,5.0,0.5355999999999028
ppo,,3,20,1,12,0.0,300.0,11.0,8.0,0.4104723333333382
ppo,,3,20,1,13,0.0,300.0,24.0,20.0,0.40431233333332983
ppo,,3,20,1,14,0.0,300.0,19.0,10.0,0.42019433333333467
ppo,,3,20,1,15,0.0,300.0,0.0,0.0,0.42474333333332837
ppo,,3,20,1,16,1.0,7.0,11.0,7.0,0.5437285714286081
ppo,,3,20,1,17,0.0,300.0,8.0,4.0,0.424722666666663
ppo,,3,20,1,18,0.0,300.0,21.0,10.0,0.4124013333333328
ppo,,3,20,1,19,0.0,300.0,22.0,12.0,0.41440066666666553
ppo,,3,20,2,0,0.0,300.0,13.0,7.0,0.40403866666666843
ppo,,3,20,2,1,0.0,300.0,26.0,15.0,0.40779099999999957
ppo,,3,20,2,2,0.0,300.0,5.0,3.0,0.4094810000000019
ppo,,3,20,2,3,0.0,300.0,16.0,10.0,0.40393266666666133
ppo,,3,20,2,4,0.0,300.0,310.0,300.0,0.4055943333333367
ppo,,3,20,2,5,0.0,300.0,8.0,6.0,0.4054386666666687
ppo,,3,20,2,6,0.0,300.0,49.0,23.0,0.4042200000000011
ppo,,3,20,2,7,0.0,300.0,3.0,3.0,0.40869000000000116
ppo,,3,20,2,8,0.0,300.0,6.0,2.0,0.40128566666666643
ppo,,3,20,2,9,1.0,9.0,13.0,9.0,0.4608444444443983
ppo,,3,20,2,10,1.0,6.0,18.0,6.0,0.471283333333498
ppo,,3,20,2,11,0.0,300.0,5.0,4.0,0.3977973333333355
ppo,,3,20,2,12,0.0,300.0,18.0,12.0,0.3904933333333342
ppo,,3,20,2,13,0.0,300.0,16.0,10.0,0.39174866666666475
ppo,,3,20,2,14,0.0,300.0,14.0,7.0,0.394712333333338
ppo,,3,20,2,15,0.0,300.0,300.0,300.0,0.39534966666667043
ppo,,3,20,2,16,1.0,5.0,7.0,5.0,0.583040000000068
ppo,,3,20,2,17,1.0,7.0,13.0,7.0,0.5023000000000825
ppo,,3,20,2,18,0.0,300.0,21.0,10.0,0.3911840000000015
ppo,,3,20,2,19,0.0,300.0,29.0,11.0,0.3989049999999968
ppo,,4,20,0,0,0.0,300.0,18.0,8.0,0.4522049999999981
astar,median,4,20,-1,0,True,91,51,25,
astar,component,4,20,-1,0,True,61,50,20,
astar,bbox,4,20,-1,0,True,33,32,10,
ppo,,4,20,0,1,0.0,300.0,27.0,14.0,0.45490566666666515
astar,median,4,20,-1,1,True,20,38,20,
