method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,jain,wall_ms_per_step
ppo,,2,20,2,10,1.0,5.2,6.6,4.6,0.8425945945945946,0.6871461538461555
ppo,,2,20,2,11,1.0,4.4,8.0,4.4,0.9825959498553519,0.8306136363636489
ppo,,2,20,2,12,1.0,47.2,54.6,34.6,0.9077239803735153,0.6538605932203396
ppo,,2,20,2,13,1.0,45.8,40.8,25.2,0.9493679745755799,0.5787602620087348
ppo,,2,20,2,14,1.0,13.4,21.2,12.6,0.9403445908909092,0.7517567164179073
ppo,,2,20,2,15,1.0,95.2,61.4,35.8,0.9438489070317256,0.6687390756302508
ppo,,2,20,2,16,1.0,10.2,17.0,9.4,0.983914746509648,0.8617019607842888
ppo,,2,20,2,17,1.0,9.4,16.2,8.6,0.9940555055868121,0.663506382978726
ppo,,2,20,2,18,1.0,6.0,11.2,6.0,0.9911219512195121,0.7414233333333206
ppo,,2,20,2,19,1.0,1.4,2.0,1.2,0.8800000000000001,1.1436571428572304
ppo,,3,20,0,0,1.0,38.2,72.2,28.6,0.9748260025992759,0.7275853403141304
astar,median,3,20,-1,0,True,21,20,18,0.4065040650406504,
astar,component,3,20,-1,0,True,51,53,25,0.9206817436905933,
astar,bbox,3,20,-1,0,True,14,30,10,1.0,
ppo,,3,20,0,1,1.0,84.6,150.8,56.0,0.9822935807129015,0.66525271867612
astar,median,3,20,-1,1,True,12,29,11,0.9836257309941521,
astar,component,3,20,-1,1,True,28,55,23,0.966762543943752,
astar,bbox,3,20,-1,1,True,27,31,15,0.9023474178403755,
ppo,,3,20,0,2,1.0,71.8,124.4,50.6,0.9662197703567352,0.65643008356546
astar,median,3,20,-1,2,True,37,20,15,0.5602240896358543,
astar,component,3,20,-1,2,True,56,32,21,0.6799468791500664,
astar,bbox,3,20,-1,2,True,16,18,12,0.6666666666666666,
ppo,,3,20,0,3,1.0,61.6,111.4,46.4,0.9443105208359597,0.731333441558442
astar,median,3,20,-1,3,True,11,22,11,0.7831715210355987,
astar,component,3,20,-1,3,True,18,32,13,0.9752380952380952,
astar,bbox,3,20,-1,3,True,27,38,14,0.9944903581267218,
ppo,,3,20,0,4,1.0,46.0,81.4,34.2,0.9492081576013444,0.675360434782614
astar,median,3,20,-1,4,True,15,17,15,0.4243759177679883,
astar,component,3,20,-1,4,True,24,45,21,0.9259259259259259,
astar,bbox,3,20,-1,4,True,20,28,10,0.9974554707379135,
ppo,,3,20,0,5,1.0,51.6,100.2,36.0,0.9922993411667758,0.6607744186046471
astar,median,3,20,-1,5,True,13,18,9,0.8852459016393442,
astar,component,3,20,-1,5,True,21,36,14,0.9863013698630136,
astar,bbox,3,20,-1,5,True,11,20,7,0.9950248756218906,
ppo,,3,20,0,6,1.0,64.0,109.2,41.4,0.9740701485069116,0.7124562499999987
astar,median,3,20,-1,6,True,29,28,26,0.3843137254901961,
astar,component,3,20,-1,6,True,43,87,29,1.0,
astar,bbox,3,20,-1,6,True,15,42,15,0.98989898989899,
ppo,,3,20,0,7,1.0,122.0,190.6,74.4,0.9706757891727081,0.8146975409836065
astar,median,3,20,-1,7,True,17,19,11,0.7763440860215054,
astar,component,3,20,-1,7,True,17,27,11,0.9681274900398407,
astar,bbox,3,20,-1,7,True,39,29,13,0.9375696767001115,
ppo,,3,20,0,8,1.0,75.6,119.0,48.8,0.9459205050990859,0.7947732804232839
astar,median,3,20,-1,8,True,12,18,9,0.8852459016393442,
astar,component,3,20,-1,8,True,21,34,15,0.9490968801313628,
astar,bbox,3,20,-1,8,True,7,21,7,1.0,
ppo,,3,20,0,9,1.0,22.6,44.8,17.2,0.9661089552132989,0.7027283185840618
astar,median,3,20,-1,9,True,39,13,8,0.6954732510288066,
astar,component,3,20,-1,9,True,31,25,10,0.9600614439324117,
astar,bbox,3,20,-1,9,True,18,18,8,0.9310344827586207,
ppo,,3,20,0,10,1.0,34.6,49.6,22.8,0.9367947776571321,0.8003364161849742
astar,median,3,20,-1,10,True,8,13,8,0.6329588014981273,
astar,component,3,20,-1,10,True,13,27,12,0.9033457249070632,
astar,bbox,3,20,-1,10,True,7,18,7,0.9473684210526315,
ppo,,3,20,0,11,1.0,9.4,20.2,8.2,0.954276366759165,0.6642638297872443
astar,median,3,20,-1,11,True,5,10,5,0.6666666666666666,
astar,component,3,20,-1,11,True,5,10,5,0.6666666666666666,
astar,bbox,3,20,-1,11,True,5,13,5,0.9548022598870056,
ppo,,3,20,0,12,1.0,79.2,120.6,50.8,0.9678933059426729,0.7089138888888863
astar,median,3,20,-1,12,True,19,22,13,0.6453333333333333,
astar,component,3,20,-1,12,True,25,32,17,0.8244766505636071,
astar,bbox,3,20,-1,12,True,38,37,14,0.9898770788141721,
ppo,,3,20,0,13,1.0,87.0,120.0,48.8,0.966185782385544,0.7353671264367843
astar,median,3,20,-1,13,True,22,30,16,0.704225352112676,
astar,component,3,20,-1,13,True,19,44,18,0.9490196078431372,
astar,bbox,3,20,-1,13,True,18,38,14,0.9944903581267218,
ppo,,3,20,0,14,1.0,34.0,62.6,26.0,0.9585333881748808,0.664693529411764
astar,median,3,20,-1,14,True,23,22,17,0.5138004246284501,
astar,component,3,20,-1,14,True,22,42,17,0.9702970297029703,
astar,bbox,3,20,-1,14,True,34,36,13,0.9953917050691244,
ppo,,3,20,0,15,1.0,43.0,81.0,33.6,0.9631071509923658,0.7210827906976779
astar,median,3,20,-1,15,True,16,23,14,0.7081659973226239,
astar,component,3,20,-1,15,True,21,42,21,0.8828828828828829,
astar,bbox,3,20,-1,15,True,9,25,9,0.9873617693522907,
ppo,,3,20,0,16,1.0,11.8,26.0,10.2,0.9592099428564049,0.9913864406779451
astar,median,3,20,-1,16,True,5,9,5,0.7714285714285715,
astar,component,3,20,-1,16,True,6,10,6,0.7575757575757576,
astar,bbox,3,20,-1,16,True,4,12,4,1.0,
ppo,,3,20,0,17,1.0,10.4,21.2,8.2,0.9702559450016542,0.865357692307718
astar,median,3,20,-1,17,True,5,9,5,0.6585365853658537,
astar,component,3,20,-1,17,True,8,17,7,0.9003115264797508,
astar,bbox,3,20,-1,17,True,5,11,5,0.7908496732026143,
ppo,,3,20,0,18,1.0,64.4,123.0,47.2,0.9820720588063132,0.7848962732919212
astar,median,3,20,-1,18,True,9,18,9,0.6666666666666666,
astar,component,3,20,-1,18,True,21,33,12,0.983739837398374,
astar,bbox,3,20,-1,18,True,32,36,15,0.968609865470852,
ppo,,3,20,0,19,1.0,46.0,80.0,31.4,0.9730400266244803,0.7201117391304332
astar,median,3,20,-1,19,True,18,21,18,0.44144144144144143,
astar,component,3,20,-1,19,True,36,66,29,0.9490196078431372,
astar,bbox,3,20,-1,19,True,45,33,13,0.9628647214854111,
ppo,,3,20,1,0,1.0,54.4,95.6,37.8,0.9725280265426536,0.7027198529411707
ppo,,3,20,1,1,1.0,88.6,139.8,57.4,0.959960433758807,0.76920835214447
ppo,,3,20,1,2,1.0,66.6,109.6,41.4,0.9800676461388566,0.7256597597597603
ppo,,3,20,1,3,1.0,54.2,93.4,38.2,0.96620499730489,0.7680483394833906
ppo,,3,20,1,4,1.0,55.8,81.8,37.4,0.9176932370848678,0.7787014336917603
ppo,,3,20,1,5,1.0,53.4,93.6,37.6,0.9713435117777373,0.6985591760299623
ppo,,3,20,1,6,1.0,60.2,108.6,43.2,0.9742582731039885,0.7347966777408604
ppo,,3,20,1,7,1.0,75.2,128.0,49.4,0.9712620382763628,0.6540377659574426
ppo,,3,20,1,8,1.0,64.2,105.0,42.6,0.9398031678407364,0.6353772585669757
ppo,,3,20,1,9,1.0,15.4,30.8,11.6,0.9805038664485594,0.6739350649350616
ppo,,3,20,1,10,1.0,51.6,88.2,35.0,0.9715920498819448,0.6915437984496147
ppo,,3,20,1,11,1.0,15.4,29.6,11.6,0.9761271274935167,0.6985337662337789
ppo,,3,20,1,12,1.0,61.0,82.8,32.2,0.9790545579589363,0.6560114754098355
ppo,,3,20,1,13,1.0,68.2,114.8,45.0,0.9791431474237886,0.6093999999999994
ppo,,3,20,1,14,1.0,114.6,156.8,64.2,0.9536010664273495,0.6602013961605566
ppo,,3,20,1,15,1.0,46.8,76.6,31.2,0.9579300767274666,0.6560252136752117
ppo,,3,20,1,16,1.0,12.2,24.4,10.8,0.9155653657526077,0.6951131147540945
ppo,,3,20,1,17,1.0,12.2,21.0,9.2,0.9474322006926037,0.7835803278688455
ppo,,3,20,1,18,1.0,42.8,75.8,28.4,0.9766681523919196,0.6323093457943917
ppo,,3,20,1,19,1.0,62.0,99.0,37.0,0.9854475691276342,0.6422745161290342
ppo,,3,20,2,0,1.0,47.0,82.2,29.6,0.9887322761481709,0.6660723404255342
ppo,,3,20,2,1,1.0,50.6,98.4,36.4,0.9827255487660012,0.6361339920948655
ppo,,3,20,2,2,1.0,99.8,164.0,68.2,0.9522808800773557,0.6473362725450867
ppo,,3,20,2,3,1.0,43.2,77.2,30.8,0.9597772139879484,0.6277638888888918
ppo,,3,20,2,4,0.8,102.8,161.4,72.8,0.9263953311271653,0.6303628404669249
ppo,,3,20,2,5,0.8,131.8,229.4,87.8,0.9792028672417608,0.678245675265554
ppo,,3,20,2,6,1.0,54.6,104.0,45.0,0.9274754502376628,0.6623655677655712
ppo,,3,20,2,7,1.0,89.2,125.8,50.6,0.9542126386193001,0.6239961883408072
ppo,,3,20,2,8,1.0,46.8,77.2,34.8,0.9137151404578109,0.6137504273504378
ppo,,3,20,2,9,1.0,18.4,35.0,13.6,0.9607805640878023,0.6382489130434652
ppo,,3,20,2,10,1.0,21.8,42.8,17.4,0.968445258231245,0.6675220183486024
ppo,,3,20,2,11,1.0,24.8,46.4,18.0,0.9701367773548594,0.6542411290322578
ppo,,3,20,2,12,1.0,72.6,112.4,46.8,0.9380357506769629,0.6734060606060538
ppo,,3,20,2,13,1.0,86.4,128.8,56.2,0.9164656637099048,0.6314136574074128
ppo,,3,20,2,14,1.0,115.2,165.0,68.8,0.9561442804304396,0.664257986111114
ppo,,3,20,2,15,1.0,33.4,62.0,26.0,0.9449087321209084,0.7650479041916052
ppo,,3,20,2,16,1.0,10.6,24.6,9.8,0.9652151143050556,0.907139622641536
ppo,,3,20,2,17,1.0,10.8,20.0,8.2,0.9618520450540071,0.730296296296268
ppo,,3,20,2,18,0.8,90.2,169.4,66.4,0.9795939944393368,0.6349572062084202
ppo,,3,20,2,19,1.0,76.2,104.8,42.0,0.9755881938578671,0.6915519685039335
ppo,,4,20,0,0,1.0,34.0,82.2,24.8,0.9717614143553224,0.7660282352941001
astar,median,4,20,-1,0,True,91,51,25,0.7623094958968347,
astar,component,4,20,-1,0,True,61,50,20,0.8852691218130312,
astar,bbox,4,20,-1,0,True,33,32,10,0.9624060150375939,
ppo,,4,20,0,1,1.0,46.2,105.2,34.4,0.9424464979682237,0.6903290043289971
astar,median,4,20,-1,1,True,20,38,20,0.5486322188449848,
astar,component,4,20,-1,1,True,20,58,18,0.9688940092165899,
astar,bbox,4,20,-1,1,True,12,35,12,0.9540498442367601,
ppo,,4,20,0,2,0.6,253.4,391.0,113.0,0.9815008917099931,0.747992186266773
astar,median,4,20,-1,2,True,14,17,12,0.4722222222222222,
astar,component,4,20,-1,2,True,14,17,12,0.4722222222222222,
astar,bbox,4,20,-1,2,True,38,31,12,0.8429824561403508,
ppo,,4,20,0,3,1.0,59.0,135.4,43.0,0.940263290027097,0.7555223728813563
astar,median,4,20,-1,3,True,18,35,12,0.8299457994579946,
astar,component,4,20,-1,3,True,87,107,30,0.9832531776021985,
astar,bbox,4,20,-1,3,True,92,62,20,0.9707070707070707,
ppo,,4,20,0,4,1.0,55.8,144.2,44.0,0.9602559107121091,0.7252111111111086
astar,median,4,20,-1,4,True,69,44,17,0.8673835125448028,
astar,component,4,20,-1,4,True,18,55,15,0.9963768115942029,
astar,bbox,4,20,-1,4,True,32,50,16,0.9704968944099379,
ppo,,4,20,0,5,1.0,85.4,212.4,65.2,0.9667164182792138,0.7083498829039793
astar,median,4,20,-1,5,True,15,32,12,0.8366013071895425,
astar,component,4,20,-1,5,True,102,81,22,0.9959016393442623,
astar,bbox,4,20,-1,5,True,16,38,13,0.9352331606217616,
ppo,,4,20,0,6,0.8,150.2,320.8,95.0,0.98106092933728,0.7410940079893454
astar,median,4,20,-1,6,True,19,46,13,0.9906367041198502,
astar,component,4,20,-1,6,True,30,78,21,0.9889466840052016,
astar,bbox,4,20,-1,6,True,17,54,17,0.9617414248021108,
ppo,,4,20,0,7,0.8,171.8,359.0,103.4,0.9768978693133483,0.7897328288707834
astar,median,4,20,-1,7,True,42,27,12,0.7689873417721519,
astar,component,4,20,-1,7,True,12,25,11,0.8012820512820513,
astar,bbox,4,20,-1,7,True,69,43,13,0.9570393374741201,
ppo,,4,20,0,8,1.0,80.4,178.2,50.8,0.9819314376593912,0.7700753731343303
astar,median,4,20,-1,8,True,55,29,13,0.6549844236760125,
astar,component,4,20,-1,8,True,28,46,16,0.921602787456446,
astar,bbox,4,20,-1,8,True,12,28,9,0.9245283018867925,
ppo,,4,20,0,9,1.0,25.2,71.4,20.8,0.9810661143068587,0.789322222222205
astar,median,4,20,-1,9,True,30,26,9,0.898936170212766,
astar,component,4,20,-1,9,True,23,32,11,0.9552238805970149,
